"","A1.B002423.3_39_F.1.1","A10.MAA000903.3_11_M.1.1","A12.B002011.3_38_F.1.1","A12.B002423.3_39_F.1.1","A13.MAA000903.3_11_M.1.1","A14.MAA000920.3_11_M.1.1","A16.MAA000399.3_9_M.1.1","A17.B002011.3_38_F.1.1","A19.MAA000920.3_11_M.1.1","A21.MAA000920.3_11_M.1.1","A22.B002428.3_38_F.1.1","A3.B002010.3_39_F.1.1","A5.B000636.3_56_F.1.1","A5.MAA000901.3_10_M.1.1","A8.MAA000920.3_11_M.1.1","A9.MAA000899.3_10_M.1.1","B1.MAA000586.3_8_M.1.1","B12.MAA000586.3_8_M.1.1","B13.MAA000920.3_11_M.1.1","B16.B000636.3_56_F.1.1","B16.B002010.3_39_F.1.1","B18.MAA000398.3_9_M.1.1","B19.B002427.3_39_F.1.1","B2.B002010.3_39_F.1.1","B5.B002427.3_39_F.1.1","B6.B002421.3_39_F.1.1","B9.B000634.3_56_F.1.1","C1.B002010.3_39_F.1.1","C1.MAA000400.3_8_M.1.1","C15.B000412.3_56_F.1.1","C17.B002421.3_39_F.1.1","C2.MAA000399.3_9_M.1.1","C20.B002011.3_38_F.1.1","C21.B002427.3_39_F.1.1","C21.B002429.3_38_F.1.1","C22.MAA000920.3_11_M.1.1","C3.MAA000919.3_10_M.1.1","C4.B000634.3_56_F.1.1","C5.MAA000400.3_8_M.1.1","C5.MAA100097.3_39_F.1.1","C6.MAA000399.3_9_M.1.1","C7.B000636.3_56_F.1.1","C8.B002010.3_39_F.1.1","D10.MAA000399.3_9_M.1.1","D15.MAA000920.3_11_M.1.1","D18.B000636.3_56_F.1.1","D18.MAA000452.3_8_M.1.1","D2.MAA000901.3_10_M.1.1","D20.MAA000452.3_8_M.1.1","D22.B000634.3_56_F.1.1","D22.B002010.3_39_F.1.1","D3.B002429.3_38_F.1.1","D4.MAA000898.3_11_M.1.1","D4.MAA100096.3_38_F.1.1","D5.B000636.3_56_F.1.1","D5.MAA000452.3_8_M.1.1","D6.B000634.3_56_F.1.1","D6.B000636.3_56_F.1.1","D6.B002011.3_38_F.1.1","D7.B002423.3_39_F.1.1","D8.MAA000903.3_11_M.1.1","D9.MAA000920.3_11_M.1.1","E1.B002421.3_39_F.1.1","E1.B002427.3_39_F.1.1","E1.MAA000920.3_11_M.1.1","E1.MAA100037.3_10_M.1.1","E1.MAA100097.3_38_F.1.1","E13.B002421.3_39_F.1.1","E14.MAA000587.3_8_M.1.1","E16.MAA000901.3_10_M.1.1","E19.B000634.3_56_F.1.1","E19.MAA000586.3_8_M.1.1","E2.B000634.3_56_F.1.1","E21.MAA000917.3_11_M.1.1","E22.B002427.3_39_F.1.1","E3.B002011.3_38_F.1.1","E3.MAA000901.3_10_M.1.1","E3.MAA000917.3_11_M.1.1","E4.MAA000399.3_9_M.1.1","E5.MAA000918.3_10_M.1.1","E8.B002423.3_39_F.1.1","F1.B002423.3_39_F.1.1","F16.MAA000917.3_11_M.1.1","F17.B002011.3_38_F.1.1","F22.B002429.3_38_F.1.1","F3.MAA100037.3_10_M.1.1","F6.B002010.3_39_F.1.1","F7.MAA000917.3_11_M.1.1","F8.B002010.3_39_F.1.1","F8.B002423.3_39_F.1.1","G11.B000636.3_56_F.1.1","G11.B002011.3_38_F.1.1","G11.MAA000936.3_9_M.1.1","G12.MAA000903.3_11_M.1.1","G17.B000633.3_56_F.1.1","G17.B002427.3_39_F.1.1","G20.B002428.3_38_F.1.1","G20.B002429.3_38_F.1.1","G21.B000636.3_56_F.1.1","G21.B002421.3_39_F.1.1","G3.MAA000399.3_9_M.1.1","G3.MAA000898.3_11_M.1.1","G3.MAA000917.3_11_M.1.1","H14.B002010.3_39_F.1.1","H16.MAA000919.3_10_M.1.1","H20.MAA000917.3_11_M.1.1","H21.MAA000587.3_8_M.1.1","H21.MAA000901.3_10_M.1.1","H22.MAA000399.3_9_M.1.1","H3.MAA100096.3_38_F.1.1","I10.B002427.3_39_F.1.1","I10.MAA000920.3_11_M.1.1","I11.B000633.3_56_F.1.1","I13.MAA000589.3_9_M.1.1","I14.B002423.3_39_F.1.1","I15.B002421.3_39_F.1.1","I15.MAA000587.3_8_M.1.1","I18.B000412.3_56_F.1.1","I18.B002010.3_39_F.1.1","I18.MAA000903.3_11_M.1.1","I2.MAA000399.3_9_M.1.1","I22.B000633.3_56_F.1.1","I3.MAA000920.3_11_M.1.1","I5.B000634.3_56_F.1.1","I5.MAA000399.3_9_M.1.1","I8.B000636.3_56_F.1.1","I8.MAA000919.3_10_M.1.1","J1.B000634.3_56_F.1.1","J10.B000412.3_56_F.1.1","J10.B000634.3_56_F.1.1","J12.MAA000589.3_9_M.1.1","J13.B002428.3_38_F.1.1","J14.MAA000901.3_10_M.1.1","J15.B002423.3_39_F.1.1","J15.MAA000589.3_9_M.1.1","J2.B002429.3_38_F.1.1","J20.MAA000399.3_9_M.1.1","J21.B002421.3_39_F.1.1","J3.B002427.3_39_F.1.1","J4.MAA000586.3_8_M.1.1","J7.MAA000936.3_9_M.1.1","J9.B000636.3_56_F.1.1","K12.B000634.3_56_F.1.1","K12.B000636.3_56_F.1.1","K12.MAA000586.3_8_M.1.1","K13.MAA000399.3_9_M.1.1","K16.B000412.3_56_F.1.1","K17.MAA000400.3_8_M.1.1","K17.MAA000917.3_11_M.1.1","K21.MAA000901.3_10_M.1.1","K21.MAA000919.3_10_M.1.1","K4.B000412.3_56_F.1.1","K5.B000412.3_56_F.1.1","K6.MAA000586.3_8_M.1.1","K7.B002427.3_39_F.1.1","K7.MAA000903.3_11_M.1.1","K8.B000636.3_56_F.1.1","K9.B002010.3_39_F.1.1","K9.MAA000901.3_10_M.1.1","L1.MAA000903.3_11_M.1.1","L10.B002421.3_39_F.1.1","L11.MAA000920.3_11_M.1.1","L12.MAA000586.3_8_M.1.1","L14.MAA000903.3_11_M.1.1","L17.B002010.3_39_F.1.1","L17.MAA000586.3_8_M.1.1","L19.B002010.3_39_F.1.1","L2.MAA000589.3_9_M.1.1","L2.MAA000917.3_11_M.1.1","L20.B002011.3_38_F.1.1","L20.MAA000901.3_10_M.1.1","L21.B000636.3_56_F.1.1","L22.MAA000917.3_11_M.1.1","L3.MAA000898.3_11_M.1.1","L4.MAA000587.3_8_M.1.1","L7.B002428.3_38_F.1.1","L7.MAA000398.3_9_M.1.1","L7.MAA000901.3_10_M.1.1"
"0610007C21Rik",0,1,1928,1059,0,169,0,1355,0,0,0,301,0,0,0,0,278,161,0,293,0,73,0,215,305,0,0,558,0,0,0,78,432,406,464,0,567,0,0,160,962,0,176,1732,0,0,0,0,392,939,740,0,637,21,0,203,916,2,1,0,5,0,2,87,0,192,81,0,345,281,6,520,119,1,1539,963,0,0,0,0,822,200,0,550,0,0,408,1,641,238,0,500,0,0,189,708,264,0,0,218,75,0,0,588,145,0,0,694,0,0,1,319,8,53,0,0,0,0,0,26,0,272,188,0,305,1,9,517,0,61,1,75,0,548,104,0,691,188,274,133,62,0,419,0,269,1,0,252,0,0,534,0,0,0,1,526,0,248,280,240,882,335,79,0,273,736,1942,0,0,0,284,0,0,0,0,0,0,0
"0610007L01Rik",0,0,0,0,0,0,0,0,0,0,484,0,0,0,0,0,0,0,0,392,0,2,125,0,0,0,168,0,0,0,0,0,0,0,0,0,320,610,0,26,0,0,103,393,0,0,0,0,172,0,1,0,0,0,0,107,99,0,0,0,1,172,2,0,0,0,0,0,135,0,1,0,111,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,105,0,0,0,52,0,0,275,1,0,0,0,0,0,0,40,34,0,0,172,0,0,0,327,0,2,0,0,0,0,0,0,0,0,144,164,0,0,0,303,0,14,76,234,0,342,0,0,0,0,0,0,217,0,0,1,0,0,0,138,0,0,0,0,0,0,0,0,0,0,246,0,542,0,159,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610007N19Rik",0,0,0,6,15,1,0,415,0,0,0,263,0,0,0,0,122,0,0,56,0,0,208,124,41,0,85,0,61,0,0,224,0,137,0,0,0,142,0,0,0,0,211,647,0,0,0,0,28,0,76,0,0,0,0,29,39,0,0,0,30,0,0,54,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,46,0,0,95,0,0,15,22,0,48,8,0,0,0,0,0,0,8,0,0,80,77,0,0,0,4,0,0,0,0,0,0,69,0,0,61,96,0,0,0,0,45,0,32,0,43,0,0,40,0,2,0,0,208,0,0,315,0,208,0,0,24,0,0,0,0,0,0,0,0,0,2,0,0,61,260,0,0,0,68,399,0,0,0,0,0,0,0,0,0,0,0
"0610007P14Rik",0,0,0,0,0,151,0,0,0,0,0,259,0,0,0,0,0,4,0,5,0,0,0,0,0,0,59,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,135,0,13,0,0,0,0,0,0,11,28,38,0,0,1,0,0,0,0,3,21,0,67,1,14,0,123,0,0,196,0,0,0,0,0,42,0,0,0,0,0,0,0,63,0,0,0,0,0,189,0,0,0,0,210,0,0,0,48,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,378,0,7,0,0,0,0,0,0,0,53,11,0,0,0,17,0,0,0,0,64,0,0,187,0,0,0,0,0,0,0,0,3,243,11,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0
"0610009D07Rik",0,0,350,0,0,1,0,0,0,0,0,81,0,0,0,52,0,63,0,16,360,10,1,139,0,0,113,0,130,0,0,225,0,48,0,0,98,210,0,18,0,0,215,1200,0,0,0,0,62,0,304,0,0,0,0,262,0,0,0,0,0,0,5,0,0,38,48,0,79,6,19,147,0,0,0,0,0,0,0,43,0,1,0,278,0,0,78,0,88,156,0,286,62,769,36,0,3,0,0,149,0,0,0,0,80,0,126,2,0,0,0,15,124,34,0,0,0,0,75,0,0,0,0,30,340,0,0,0,0,161,0,0,0,0,194,0,229,0,0,0,165,0,0,0,0,0,0,148,34,0,171,0,0,0,0,22,0,80,1,0,547,120,0,0,0,0,0,0,0,0,0,0,0,0,162,0,46,1
"0610010K14Rik",267,0,0,0,0,1,0,0,0,0,0,251,0,0,0,24,0,0,0,415,336,18,0,0,0,0,0,0,3,0,0,4,1028,0,0,0,33,0,0,0,47,0,0,72,0,0,72,0,0,332,0,0,125,0,0,106,0,0,0,0,0,69,1,37,46,31,0,0,75,122,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,33,0,101,0,0,0,0,0,0,0,480,0,0,0,0,167,0,0,46,0,445,1,0,11,0,0,0,0,0,0,0,0,16,0,0,98,0,0,371,0,0,154,240,0,0,0,0,0,0,0,154,45,109,0,0,0,0,0,92,153,0,26,0,0,0,0,0,54,0,0,0,0,0,0,171,132,0,0,472,0,0,0,0,283,0,0,200,0,57,0,0,0
"0610010O12Rik",0,0,0,0,299,0,0,0,0,0,316,396,0,0,0,0,0,47,0,168,0,0,0,0,0,0,102,217,0,0,0,0,0,0,0,0,0,295,0,59,0,0,75,1,0,0,0,0,105,492,0,0,0,0,0,0,1,283,0,0,0,0,0,132,132,83,0,0,224,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,985,0,0,19,0,0,102,176,0,0,0,0,0,0,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382,0,0,0,0,0,518,0,46,147,0,36,0,275,0,0,0,0,0,123,0,0,0,0,120,0,79,0,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,300,274,0,0,0,0,0,0,0,0,0,0,0
"0610012G03Rik",162,0,0,0,0,0,442,421,0,0,0,151,0,0,0,9,0,0,0,0,0,36,127,118,0,285,0,0,0,0,0,200,0,119,0,0,174,2,0,1,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,4,189,0,642,0,41,0,1,43,0,200,0,0,59,154,0,337,59,0,0,405,0,0,0,0,0,98,0,0,0,0,101,0,0,0,0,0,28,0,0,0,0,0,0,0,120,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,62,0,0,570,0,0,158,0,154,0,20,68,0,38,0,0,0,130,0,0,255,0,305,0,0,0,114,0,42,0,0,233,0,0,0,0,185,0,0,0,0,58,0,0,0,356,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610031J06Rik",524,0,522,432,0,106,900,0,0,0,0,0,0,0,0,0,632,173,0,0,0,151,628,0,574,0,0,285,0,0,0,11,0,0,816,1,106,92,0,0,515,0,0,1525,0,1,0,0,0,0,404,0,0,0,0,195,0,630,0,317,449,0,1,459,196,0,0,0,495,0,0,0,349,0,0,274,0,0,0,0,547,0,0,946,0,0,140,0,1713,631,0,1,210,0,690,0,0,1,0,0,327,0,0,434,0,0,318,230,0,0,0,0,93,0,0,0,334,0,187,0,0,391,204,150,271,0,171,227,1,0,136,847,0,143,306,0,0,353,0,1034,0,0,0,0,1,0,0,130,0,0,0,0,0,99,0,2,0,0,411,0,392,722,115,0,584,692,754,0,0,613,3,0,0,0,225,0,0,0
"0610037L13Rik",0,0,0,0,0,254,356,1134,0,0,83,311,0,0,0,44,0,0,0,655,0,1,0,0,0,0,365,0,0,0,0,5,0,3,0,0,4,0,0,95,0,0,0,0,0,0,0,0,90,91,0,0,0,0,0,5,196,0,0,0,187,0,1,3,91,11,0,0,17,0,0,80,0,0,0,0,1,0,0,0,469,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,50,1,0,0,1,0,0,91,0,0,0,8,0,0,0,0,0,0,0,0,0,0,50,0,0,0,278,58,517,0,68,354,0,0,0,0,108,0,0,0,227,3,0,0,0,0,153,0,0,0,1,0,0,0,289,0,648,0,0,0,0,0,0,0,0,0,403,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0
